Course,Level,ID,Project Name,Project Type,Project Theme,Learning Objectives,Vocabulary,CSTA Standards
Intro to Python,3,3.2,Text Adventure,Guided Project,"In this project, you'll create a ""choose your own adventure""-style story. Each decision the user makes will lead to a different ending.","Students will:
- Write a story with multiple decisions, creating several branches of code
- Run code when one of two options are true, using or
- Run code when something is not equal, using !=
- Check if a word is anywhere in user input, using in statements","Boolean Expression, Branch, Code Block, Conditional Statement, Comparison Operator, If-elif-else, Repetition Operator, Nest, Comparison Operator, Logical Operator","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-15"
Intro to Python,3,3.3,Trivia Countdown,Team Project,"In this project, student teams will create a trivia game using number answers. Each team will use a life bar to see just how wrong the answers are.","Student teams will:
- Use if statements to check for right answers
- Use else and nested if statements to let users try each question a second time
- Use multiple layers of nested code to let the user progress if they answer correctly
- Compare user guesses to answers using operators","Boolean Expression, Branch, Code Block, Conditional Statement, Comparison Operator, If-elif-else, Repetition Operator, Nest, Comparison Operator, Logical Operator","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 2-AP-19, 3A-AP-13, 3A-AP-15, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23"
Intro to Python,3,3.4,Ask the Expert,Independent Project,"In this project, students build a program that gives customized advice to the user.","Students will:
- Use if, elif, and else statements to offer advice based on user input
- Use layers of nested code to ask the user follow-up questions
- Use the == operator and the in operator to test user input in different ways
- Design a selection algorithm to allow at least five different recommendations to the user","Boolean Expression, Branch, Code Block, Conditional Statement, Comparison Operator, If-elif-else, Repetition Operator, Nest, Comparison Operator, Logical Operator","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-15"
Intro to Python,3,3.5,Riddle Keeper,Independent Project,"In this project, students build a program that challenges the user to answer a series of riddles or other difficult questions.","Students will:
- Use if, elif, and else statements to offer advice based on user input
- Use layers of nested code to ask the user follow-up questions
- Use the == operator and the in operator to test user input in different ways
- Design a selection algorithm to allow at least five different recommendations to the user","Boolean Expression, Branch, Code Block, Conditional Statement, Comparison Operator, If-elif-else, Repetition Operator, Nest, Comparison Operator, Logical Operator","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-15"
Intro to Python,3,3.6,Superfan,Independent Project,"In this project, students build a trivia quiz program to measure the user's level of fandom for a celebrity, icon, or cultural topic of your choice.","Students will:
- Use if, elif, and else statements to offer advice based on user input
- Use layers of nested code to ask the user follow-up questions
- Use the == operator and the in operator to test user input in different ways
- Design a selection algorithm to allow at least five different recommendations to the user","Boolean Expression, Branch, Code Block, Conditional Statement, Comparison Operator, If-elif-else, Repetition Operator, Nest, Comparison Operator, Logical Operator","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-15"
Intro to Python,4,4.1,Special Request,Guided Project,"In this project, you'll create a program that writes different emails depending on who you're sending it to.","Students will:
- Organize information into categories using lists
- Choose the words you want for your letter using the index
- Check if two things are true using the and operator
- Use the title() method to make sure that user input is capitalized","Index, List, Method, Concatenation Operator, title(), Import, Module, Substring, lower(), random.choice(), random.randint(), Slide Notation","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15"
Intro to Python,4,4.2,Gabby the Chatbot,Guided Project,"In this project, you'll create a chatbot, which is a program that talks to you like a real person.","Students will:
- Import the random module to choose random answers for the chatbot
- Use the index operator to lookup and change letters in a string to fit the conversation
- Use a negative index to lookup the last item in a string or list
- Use membership operators to check user input and answer correctly","Index, List, Method, Concatenation Operator, title(), Import, Module, Substring, lower(), random.choice(), random.randint(), Slide Notation","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15"
Intro to Python,4,4.3,Horoscope,Team Project,"In this project, student teams will write a program that prints a horoscope based on the user's birthday.","Students will:
- Store words and phrases in a list
- Choose funny horoscope adjectives using random methods
- Use conditional statements to choose the right horoscope based on a birthday
- Use logical operators to test multiple birthday conditions","Index, List, Method, Concatenation Operator, title(), Import, Module, Substring, lower(), random.choice(), random.randint(), Slide Notation","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-15, 2-AP-16, 2-AP-17, 2-AP-18, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23"
Intro to Python,4,4.4,Collaborative Sentence,Independent Project,"In this project, students build a game program that combines input from different players to create an unusual sentence.","Students will:
- Store writing topics in a list
- Choose funny categories using random methods
- Use a negative index to print the last part of a string
- Use conditional statements to set a rule in the game","Index, List, Method, Concatenation Operator, title(), Import, Module, Substring, lower(), random.choice(), random.randint(), Slide Notation","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15"
Intro to Python,4,4.5,Wizard Battle,Independent Project,"In this project, students build a game program that pits the user against the computer in a one-on-one battle. Each turn takes health points away from each player, and the last player with health points remaining is the winner.","Students will:
- Set the result of each turn using random methods
- Provide game story details in a list
- Use logical operators to check both players for a losing result
- Use conditional statements to set the game's difficulty level","Index, List, Method, Concatenation Operator, title(), Import, Module, Substring, lower(), random.choice(), random.randint(), Slide Notation","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15"
Intro to Python,4,4.6,Rock Paper Scissors,Independent Project,"In this project, students build a trivia quiz program to measure the user's level of fandom for a celebrity, icon, or cultural topic of your choice.","Students will:
- Set the result of each move using random methods
- Provide game choices in a list
- Use the in operator to check if a user move is valid
- Use conditional statements to check who wins each round","Index, List, Method, Concatenation Operator, title(), Import, Module, Substring, lower(), random.choice(), random.randint(), Slide Notation","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15"
Intro to Python,Capstone,2,Media Recommender,Case Study,"A case study is an opportunity to reflect on important issues at the intersection of computer science and other fields of study. Students will read about a complex topic, form their own opinion, and build a Python program that incorporates what you learned. Finally, students will develop a response that demonstrates their latest thinking on the topic and how it was reflected in their project. The focus of this case study is on media recommender systems. For this case study, students will respond to the following question: How should we design software to make media recommendations?","Students will:
- Ask for the user’s movie preferences in three categories
- Cast the user’s input values to numbers
- Use comparison operators and conditional statements to evaluate the user’s input and recommend a movie",,"2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-15, 2-AP-16, 2-AP-17, 2-AP-18, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23"
Intro to Python,5,5.1,Video Prompter,Guided Project,"In this project, students create a ""teleprompter"", which is a video that tells someone what to say or sing.","Students will:
- Loop through a list to print each teleprompter string
- Loop through each index in a list using range() and len()
- Use the time module to pause a program","Iteration, Loop, For, len(), range(), time.sleep(), append(), Break","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16"
Intro to Python,5,5.2,Color Challenge,Guided Project,"In this project, students build a game where the user must correctly name the color of a word before their time is up.","Students will:
- Add items to a list using the append() method
- Use the time module to set a timer for a game
- Use the break keyword to exit a loop when the user has lost
- Use random.shuffle() to randomize the order of a list","Iteration, Loop, For, len(), range(), time.sleep(), append(), Break","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16"
Intro to Python,5,5.3,Trick Challenge,Team Project,"In this project, student teams will write a game program based on a real trick, like a skateboard trick, gymnastics trick, bottle flipping, juggling, or something else.","Students will:
- Add multiple players to a list using append()
- Use for...in to loop through every item in a list
- Use the random module to add game elements
- Loop through each index in a list using range","Iteration, Loop, For, len(), range(), time.sleep(), append(), Break","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-15, 2-AP-16, 2-AP-17, 2-AP-18, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23"
Intro to Python,5,5.4,Lightning Round,Independent Project,"In this project, students invent a timed, multiplayer game where the players must think of items in a category before the timer runs out.","Students will:
- Add multiple players to a list using append()
- Use for...in to loop through every item in a list
- Use range() to loop a number of times based on user input
- Use the time, random, and os modules to add game elements","Iteration, Loop, For, len(), range(), time.sleep(), append(), Break","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16"
Intro to Python,5,5.5,Dance Creator,Independent Project,"In this project, students write a program that creates a new dance by combining random moves that you invent.","Students will:
- Add dance moves to a list using append()
- Use for...in to loop through every item in a list
- Use range() to loop a number of times based on user input
- Use random.shuffle() to randomize the order of dance moves","Iteration, Loop, For, len(), range(), time.sleep(), append(), Break","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16"
Intro to Python,5,5.6,Detective,Independent Project,"In this project, students create a mystery game where the user plays a detective. The player must guess the right suspect and other facts about the mystery. They must get all the facts right in order to win the game.","Students will:
- Add mystery solving information to a list using append()
- Use for...in to loop through every item in each list of clues
- Use range() to loop through a number of turns in the game
- Use random.choice() to select the answers to the mystery","Iteration, Loop, For, len(), range(), time.sleep(), append(), Break","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16"
Intro to Python,6,6.1,Emoji Quilts,Guided Project,"Students are experienced quilt designers, creating masterful quilts from patterns of emoji! They'll be tasked with using their skills to improve both the pattern of a quilt and the design of their quilt-making program.","Students will:
- Use functions to improve the design of a quilt-making program
- Create their own functions to represent rows in a quilt
- Write a program to create their own emoji quilt","def, Design, Function, Parameter, Refactor, Return, Return Value, Side Effect","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-21, 3A-AP-23"
Intro to Python,6,6.2,Super Emoji Quilts,Guided Project,"Students build on their work from Emoji Quilts to improve the design of their quilt-making program and make even more customizable quilts! Along the way, they’ll learn more about parameters, which allow them to change how their functions behave.","Students will:
- Use functions with parameters to improve the design of a quilt-making program
- Use parameters to allow a user to customize their own emoji quilt","def, Design, Function, Parameter, Refactor, Return, Return Value, Side Effect","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-21, 3A-AP-23"
Intro to Python,6,6.3,Disco Dancer,Team Project,"With their team, students will write a program to allow dancers to build their very own dance floor!","Student teams will:
- Write their own functions to create a custom dance floor
- Validate user input to prevent users from using your program incorrectly
- Customize their dance floor to create interesting patterns","def, Design, Function, Parameter, Refactor, Return, Return Value, Side Effect","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-15, 2-AP-16, 2-AP-17, 2-AP-18, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23"
Intro to Python,6,6.4,ASCII Pets,Independent Project,Students will draw and customize their own digital pet using characters they can find on their keyboard!,"Students will:
- Use functions with parameters to design their own ASCII pets
- Use functions to validate user input","def, Design, Function, Parameter, Refactor, Return, Return Value, Side Effect","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-21, 3A-AP-23"
Intro to Python,6,6.5,Passion Project,Independent Project,"In this project, students will create and design a program of their choice. They will use the skills they've reviewed in this level, and follow any guidance given by their teacher.","Students will:
- Write functions to implement a program of their choice
- Use parameters to make their functions more flexible and reusable","def, Design, Function, Parameter, Refactor, Return, Return Value, Side Effect","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-16, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-21, 3A-AP-23"
Data Science & AI,1,1.1,Autocorrect,Guided Project,"In this project, students will review the basics of programming in Python and create a simplified version of autocorrect. They’ll build a program that corrects a misspelled word by searching for the word with the most characters in common.","Students will:
- Write functions to solve smaller pieces of a larger problem
- Use loops to repeat code
- Use conditional statements to run some lines of code and not others
- Use Boolean expressions to ask true or false questions
- Use variables, lists, and more to store information
- In their workbooks, students will also learn about search algorithms commonly used in the field of data science and artificial intelligence, such as linear search.","Algorithm, Argument, Boolean Expression, Call, Conditional Statement, Function, List, Loop, Parameter, Program, Return, String Method, Variable, for, if-elif-else, input(), lowe(), print(), split(), while","3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-AP-08, 3B-AP-14, 3B-AP-21"
Data Science & AI,1,1.2,Obstacle Course,Team Project,"Following in the historical footsteps of AI that was developed to play video games, students will review the basics of programming in Python by creating a program that will try to avoid different obstacles a user types in.","Students will:
- Write functions to solve smaller pieces of a larger problem
- Use loops to repeat code
- Use conditional statements to run some lines of code and not others
- Use Boolean expressions to ask questions with and, or, and not
- Use variables, lists, and more to store information","Algorithm, Argument, Boolean Expression, Call, Conditional Statement, Function, List, Loop, Parameter, Program, Return, String Method, Variable, for, if-elif-else, input(), lowe(), print(), split(), while","3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23, 3B-AP-14, 3B-AP-20, 3B-AP-21"
Data Science & AI,1,1.3,Empath,Independent Project,"Following in the historical footsteps of AI that was developed to play video games, students will review the basics of programming in Python by creating a program that will try to avoid different obstacles a user types in.","Students will:
- Write functions to solve smaller pieces of a larger problem
- Use loops to repeat code until some condition is true
- Use conditional statements to run some lines of code and not others
- Use Boolean expressions to ask true or false questions
- Use variables, lists, and more to store information","Algorithm, Argument, Boolean Expression, Call, Conditional Statement, Function, List, Loop, Parameter, Program, Return, String Method, Variable, for, if-elif-else, input(), lowe(), print(), split(), while","3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-AP-14, 3B-AP-21"
Data Science & AI,1,1.4,Passion Project,Independent Project,"In this project, students will create and design a program of their choice. They’ll use the skills they’ve reviewed in this level, and follow any guidance given by their teacher.","Students will:
- Write functions to solve smaller pieces of a larger problem
- Use loops to repeat code until some condition is true
- Use conditional statements to run some lines of code and not others
- Use Boolean expressions to ask true or false questions
- Use variables, lists, and more to store information","Algorithm, Argument, Boolean Expression, Call, Conditional Statement, Function, List, Loop, Parameter, Program, Return, String Method, Variable, for, if-elif-else, input(), lowe(), print(), split(), while","3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-AP-14, 3B-AP-21"
Data Science & AI,2,2.1,Photo Classifier,Guided Project,"In this project, students will write a program that can tell where a photo was taken.","Students will:
- Read and understand the metadata in the provided files
- Load file data into your program using with open() and read().splitlines()
- Divide strings into lists using split()
- Sort image data by creating and appending to a new list","Data, Data Field, Dataset, Delimiter, File Path, Latitude, Longitude, Metadata, Record, Text File, URL, Grid, Traverse, open(), read(), split(), splitlines(), with, join(), replace()","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-21"
Data Science & AI,2,2.2,Rewriter,Guided Project,"In this project, students will create a program that reads a story and decides how easy or hard it is to read.","Students will:
- Get sentences from a story file and store them in a list
- Use nested loops and double index to find words in the story
- Look at a different word by adding to or subtracting from the index
- Use the replace() method to change or remove symbols in the story","Data, Data Field, Dataset, Delimiter, File Path, Latitude, Longitude, Metadata, Record, Text File, URL, Grid, Traverse, open(), read(), split(), splitlines(), with, join(), replace()","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-21"
Data Science & AI,2,2.3,Emoji Diet,Team Project,"In this project, student teams will create a program that depicts the user's daily diet, using emojis and nutritional information.","Students will:
- Read emoji and nutrition data from a file into lists in your program
- Search for emojis in the list by converting user input into an index
- Access different pieces of information in each data row using double index
- Loop through code until user input is valid using while loops","Data, Data Field, Dataset, Delimiter, File Path, Latitude, Longitude, Metadata, Record, Text File, URL, Grid, Traverse, open(), read(), split(), splitlines(), with, join(), replace()","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-20, 3B-AP-21"
Data Science & AI,2,2.4,Dream Team,Independent Project,"In this project, students will rate the best players in one sport. Then students will create the best team based on player statistics.","Students will:
- Write a program that can classify players from different data files
- Divide string information into lists using split() with a delimiter
- Access different pieces of information about each player using double index
- Sort players into new lists depending on their position","Data, Data Field, Dataset, Delimiter, File Path, Latitude, Longitude, Metadata, Record, Text File, URL, Grid, Traverse, open(), read(), split(), splitlines(), with, join(), replace()","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-21"
Data Science & AI,2,2.5,My Name Is...,Independent Project,"In this project, students will create a program to help an older relative pick a popular baby name, based on their preferences.","Students will:
- Read baby name data from a file into lists in your program
- Use list index to get specific information about specific baby names
- Sort baby names by testing multiple columns in a data row
- Access one letter in a data string using double index","Data, Data Field, Dataset, Delimiter, File Path, Latitude, Longitude, Metadata, Record, Text File, URL, Grid, Traverse, open(), read(), split(), splitlines(), with, join(), replace()","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-21"
Data Science & AI,2,2.6,Grid Maze,Independent Project,"In this project, students create a maze game.","Students will:
- Get a grid of symbols from a data file and store it in a list
- Use nested loops and double index to move around the grid
- Move the player in the maze by adding to or subtracting from the index
- Use a while loop to continue the game until the user wins","Data, Data Field, Dataset, Delimiter, File Path, Latitude, Longitude, Metadata, Record, Text File, URL, Grid, Traverse, open(), read(), split(), splitlines(), with, join(), replace()","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-21"
Data Science & AI,3,3.1,Movie Search,Guided Project,"In this project, students will turn a movie dataset into a database that people can search.","Students will:
- Read CSV data into your program using csv.reader() and list()
- Separate a header row from a dataset
- Clean data using filter(), replace(), strip(), and string slicing
- Use sorted() and itemgetter() to sort a dataset","CSV File, Header Row, abs(), enumerate(), Tuple","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-21"
Data Science & AI,3,3.2,Twin Counties,Guided Project,"In this project, students write a program to compare data about where they live with data from another place in the U.S.","Students will:
- Find the smallest difference in value between two counties' data
- Clean data using join() and replace()
- Use enumerate() to work with both the index and value of data in a list
- Use abs() to evaluate the absolute value","CSV File, Header Row, abs(), enumerate(), Tuple","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-21"
Data Science & AI,3,3.3,Get Off the Road!,Team Project,"In this project, student teams will look at car accident data and investigate which U.S. states have the best and worst drivers.","Students will:
- Compare and analyze data about U.S. states
- Clean the given data using slice notation or string methods
- Append relevant data to a new or existing dataset
- Use sorted() and itemgetter() to find highest or lowest values","CSV File, Header Row, abs(), enumerate(), Tuple","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-20, 3B-AP-21"
Data Science & AI,3,3.4,Quote Collector,Independent Project,"In this project, students will create a personalized screen saver using a list of quotes.","Students will:
- Filter quote data based on keywords
- Clean the given data using string methods
- Append relevant quotes to a new dataset
- Use sorted() and itemgetter() to output quotes in order","CSV File, Header Row, abs(), enumerate(), Tuple","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-21"
Data Science & AI,3,3.5,Font Machine,Independent Project,"In this project, students will add new fonts to the console to print messages.","Students will:
- Clean the given font table using string methods
- Match a user string with CSV data using the index
- Use concatenation and repetition in a loop to create new strings","CSV File, Header Row, abs(), enumerate(), Tuple","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-21"
Data Science & AI,3,3.6,Disaster!,Independent Project,"In this project, students will use weather data to investigate which U.S. states are most at risk of natural disasters.","Students will:
- Compare and analyze data about U.S. states
- Clean the given data using slice notation or string methods
- Append relevant data to a new or existing dataset
- Use sorted() and itemgetter() to find highest or lowest values","CSV File, Header Row, abs(), enumerate(), Tuple","3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-21"
Data Science & AI,Capstone,1,Plagiarism Detector,Case Study,"A case study is an opportunity to reflect on important issues at the intersection of computer science and other fields of study. Students will read about a complex topic, form their own opinion, and build a Python program that incorporates what you learned. Finally, students will develop a response that demonstrates their latest thinking on the topic and how it was reflected in their project. The focus of this case study is on plagiarism and the tools used to detect it. Plagiarism means taking someone else's words or ideas and presenting them as your own. It's considered a form of academic dishonesty, a.k.a. cheating. Many high schools and colleges use online plagiarism detection tools, which scan student essays and look for text from other sources.","Students will:
- Load Wikipedia articles and a student essay from text files
- Use split() and join() methods to convert between strings and lists
- Calculate what percentage of the essay appears to be plagiarized from Wikipedia
- Decide whether to flag an essay as potentially containing plagiarism",,"3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23, 3A-IC-24, 3A-IC-25, 3A-IC-26, 3B-DA-05, 3B-DA-06, 3B-DA-07, 3B-AP-14, 3B-AP-20, 3B-AP-21, 3B-IC-25, 3B-IC-26"
Data Science & AI,Capstone,1,Bike Share Planning,Team Challenge,"A case study is an opportunity to reflect on important issues at the intersection of computer science and other fields of study. Students will read about a complex topic, form their own opinion, and build a Python program that incorporates what you learned. Finally, students will develop a response that demonstrates their latest thinking on the topic and how it was reflected in their project. The focus of this team challenge is urban bike sharing. Over the past decade, bike sharing programs have become popular in large cities around the world. Whether you’re a tourist or an everyday commuter, short-term bike rentals can be a great way to get around without a car.","Students will:
- Load data about a bike share program from a CSV file
- Use the append() method to add CSV rows to a list of lists
- Extract data from the dataset using for loops and counter variables
- Use f-strings to output a report on how a bike share station is being used",,"3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23, 3A-IC-24, 3A-IC-25, 3A-IC-26, 3A-IC-29, 3B-DA-05, 3B-DA-06, 3B-DA-07, 3B-AP-14, 3B-AP-15, 3B-AP-20, 3B-AP-21, 3B-IC-25, 3B-IC-26"
Data Science & AI,4,4.1,Graduation Goals,Guided Project,"In this project, students will investigate data about graduation and dropout rates from a sample of college students.","Students will:
- Define functions that perform tasks in their program
- Return information from called functions, and use the info somewhere else in their code
- Use the Pandas library to perform data analysis on categorical data
- Use Pandas and Matplotlib to output plots that summarize their data","Abstraction, Function Definition, Parameter, Scope, Void, Return, Array","3A-DA-11, 3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-16, 3B-AP-21"
Data Science & AI,4,4.2,TV Show Analyzer,Guided Project,"In this project, students will review audience ratings of TV shows and illustrate them using graphs.","Students will:
- Import a module
- Store information in lists
- Change values using methods
- Look for information in a list or string
- Compare number values","Abstraction, Function Definition, Parameter, Scope, Void, Return, Array","3A-DA-11, 3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-16, 3B-AP-21"
Data Science & AI,4,4.3,Mental Health Monitor,Team Project,"In this project, student teams will investigate mental health in one or more countries. They will choose at least three factors or variables from across different datasets. They will use visualizations to identify possible relationships in the data that could be studied further.","Students will:
- Use Matplotlib, NumPy, or Pandas to summarize a set of data
- Illustrate trends or possible relationships using more than one kind of plot
- Write functions that perform specific tasks in your code and make your code more readable","Abstraction, Function Definition, Parameter, Scope, Void, Return, Array","3A-DA-11, 3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-16, 3B-AP-20, 3B-AP-21"
Data Science & AI,4,4.4,Out of This World,Independent Project,"In this project, students will investigate data about the history of UFO encounters in the U.S. They will choose at least three factors or variables from across different datasets. They will use visualizations to identify possible relationships in the data that could be studied further.","Students will:
- Use Matplotlib, NumPy, or Pandas to summarize a set of data
- Illustrate trends or possible relationships using more than one kind of plot
- Write functions that perform specific tasks in your code and make their code more readable","Abstraction, Function Definition, Parameter, Scope, Void, Return, Array","3A-DA-11, 3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-16, 3B-AP-21"
Data Science & AI,4,4.5,Compromised Data,Independent Project,"In this project, students will  investigate data about data breaches due to hacking and other causes. They will choose at least three factors or variables from across different datasets. They will use visualizations to identify possible relationships in the data that could be studied further.","Students will:
- Use Matplotlib, NumPy, or Pandas to summarize a set of data
- Illustrate trends or possible relationships using more than one kind of plot
- Write functions that perform specific tasks in your code and make their code more readable","Abstraction, Function Definition, Parameter, Scope, Void, Return, Array","3A-DA-11, 3A-DA-12, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-17, 3A-AP-18, 3B-DA-05, 3B-DA-06, 3B-AP-14, 3B-AP-16, 3B-AP-21"
